Date : 2020-10-08 20:25:53
Directory : c:\Users\dkzhang\go\src\github.com\dkzhang\RmsGo
Total : 248 files,  18791 codes, 1170 comments, 3119 blanks, all 23080 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Go               |        208 |     14,496 |      1,156 |      2,798 |     18,450 |
| JSON             |          4 |      2,840 |          0 |          3 |      2,843 |
| Markdown         |         13 |        992 |          2 |        233 |      1,227 |
| YAML             |         10 |        175 |          9 |         27 |        211 |
| XML              |          7 |        129 |          0 |          3 |        132 |
| Protocol Buffers |          1 |        106 |          0 |         25 |        131 |
| Shell Script     |          3 |         29 |          3 |         16 |         48 |
| Docker           |          2 |         24 |          0 |         14 |         38 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        248 |     18,791 |      1,170 |      3,119 |     23,080 |
| .github                                                                                                                        |          1 |         29 |          0 |          9 |         38 |
| .github\workflows                                                                                                              |          1 |         29 |          0 |          9 |         38 |
| .idea                                                                                                                          |          6 |         93 |          0 |          0 |         93 |
| .idea\inspectionProfiles                                                                                                       |          1 |         58 |          0 |          0 |         58 |
| Configuration                                                                                                                  |         10 |      1,767 |          8 |         18 |      1,793 |
| Configuration\Parameter                                                                                                        |          6 |      1,730 |          0 |         10 |      1,740 |
| Configuration\Security                                                                                                         |          4 |         37 |          8 |          8 |         53 |
| CronJobs                                                                                                                       |          1 |         16 |          4 |          7 |         27 |
| DK_Experiments                                                                                                                 |         15 |        842 |         29 |        147 |      1,018 |
| DK_Experiments\jsonNodeGroup                                                                                                   |          3 |         80 |          0 |         13 |         93 |
| DK_Experiments\myGob                                                                                                           |          2 |         33 |          8 |         11 |         52 |
| DK_Experiments\myJson                                                                                                          |          1 |         47 |          0 |          8 |         55 |
| DK_Experiments\myPgBytea                                                                                                       |          2 |         92 |          0 |         18 |        110 |
| DK_Experiments\pointer                                                                                                         |          1 |         73 |          0 |         15 |         88 |
| DK_Experiments\regularExpression                                                                                               |          1 |         20 |          1 |          7 |         28 |
| DK_Experiments\testDivide                                                                                                      |          1 |         15 |          0 |          5 |         20 |
| DK_Experiments\testTree                                                                                                        |          1 |        183 |          1 |         29 |        213 |
| DK_Experiments\timeParse                                                                                                       |          1 |         15 |          0 |          4 |         19 |
| DK_Experiments\token                                                                                                           |          2 |        284 |         19 |         37 |        340 |
| MyDoc                                                                                                                          |          2 |        963 |          2 |        216 |      1,181 |
| ResourceSM                                                                                                                     |         84 |      6,430 |        404 |      1,028 |      7,862 |
| ResourceSM\dataInfra                                                                                                           |         35 |      1,797 |         82 |        387 |      2,266 |
| ResourceSM\dataInfra\meteringDB                                                                                                |          4 |        173 |          1 |         37 |        211 |
| ResourceSM\dataInfra\meteringDM                                                                                                |          4 |        262 |         21 |         65 |        348 |
| ResourceSM\dataInfra\projectResDB                                                                                              |          4 |        259 |          5 |         47 |        311 |
| ResourceSM\dataInfra\projectResDM                                                                                              |          4 |        215 |         11 |         48 |        274 |
| ResourceSM\dataInfra\resAllocDB                                                                                                |          4 |        219 |          3 |         39 |        261 |
| ResourceSM\dataInfra\resAllocDM                                                                                                |          4 |        127 |          1 |         29 |        157 |
| ResourceSM\dataInfra\resGTreeDM                                                                                                |          1 |         61 |          0 |         14 |         75 |
| ResourceSM\dataInfra\resNodeDB                                                                                                 |          4 |        189 |          2 |         36 |        227 |
| ResourceSM\dataInfra\resNodeDM                                                                                                 |          5 |        228 |         38 |         54 |        320 |
| ResourceSM\dataInfra\resTreeDM                                                                                                 |          1 |         64 |          0 |         18 |         82 |
| ResourceSM\databaseInit                                                                                                        |          4 |        131 |          3 |         27 |        161 |
| ResourceSM\databaseInit\pgOpsSqlx                                                                                              |          4 |        131 |          3 |         27 |        161 |
| ResourceSM\gRpcService                                                                                                         |          8 |      1,875 |         88 |        271 |      2,234 |
| ResourceSM\gRpcService\client                                                                                                  |          3 |        323 |         39 |         63 |        425 |
| ResourceSM\gRpcService\client\myTest                                                                                           |          1 |         53 |          5 |         10 |         68 |
| ResourceSM\gRpcService\grpc                                                                                                    |          2 |      1,228 |         33 |        171 |      1,432 |
| ResourceSM\gRpcService\server                                                                                                  |          3 |        324 |         16 |         37 |        377 |
| ResourceSM\model                                                                                                               |         29 |      2,031 |        177 |        217 |      2,425 |
| ResourceSM\model\metering                                                                                                      |          1 |         62 |          1 |         13 |         76 |
| ResourceSM\model\projectRes                                                                                                    |          1 |         43 |          5 |         12 |         60 |
| ResourceSM\model\resAlloc                                                                                                      |          1 |         63 |          1 |         14 |         78 |
| ResourceSM\model\resGNode                                                                                                      |          4 |         65 |          1 |         16 |         82 |
| ResourceSM\model\resGNodeTree                                                                                                  |          9 |      1,342 |        153 |         62 |      1,557 |
| ResourceSM\model\resNode                                                                                                       |          1 |         35 |          1 |          8 |         44 |
| ResourceSM\model\resNodeGroup                                                                                                  |          4 |        123 |          4 |         26 |        153 |
| ResourceSM\model\resNodeTree                                                                                                   |          8 |        298 |         11 |         66 |        375 |
| ResourceSM\resMetering                                                                                                         |          2 |         76 |         29 |         22 |        127 |
| ResourceSM\resMetering\cronMeteringTask                                                                                        |          1 |         15 |         20 |          8 |         43 |
| ResourceSM\resMetering\meteringComputation                                                                                     |          1 |         61 |          9 |         14 |         84 |
| ResourceSM\resScheduling                                                                                                       |          3 |        475 |         24 |         86 |        585 |
| RmsLog                                                                                                                         |          4 |          0 |          0 |          4 |          4 |
| RmsLog\db                                                                                                                      |          1 |          0 |          0 |          1 |          1 |
| RmsLog\gin                                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| RmsLog\login                                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| RmsLog\normal                                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| RmsSchMetLog                                                                                                                   |          2 |          0 |          0 |          2 |          2 |
| RmsSchMetLog\db                                                                                                                |          1 |          0 |          0 |          1 |          1 |
| RmsSchMetLog\normal                                                                                                            |          1 |          0 |          0 |          1 |          1 |
| databaseInit                                                                                                                   |          3 |        193 |          3 |         32 |        228 |
| databaseInit\pgOpsSqlx                                                                                                         |          3 |        193 |          3 |         32 |        228 |
| datebaseCommon                                                                                                                 |          7 |        224 |         32 |         56 |        312 |
| datebaseCommon\postgreOpsGorm                                                                                                  |          1 |         20 |          0 |          6 |         26 |
| datebaseCommon\postgreOpsSqlx                                                                                                  |          2 |         30 |          9 |          9 |         48 |
| datebaseCommon\redisOps                                                                                                        |          2 |        113 |         20 |         28 |        161 |
| datebaseCommon\security                                                                                                        |          2 |         61 |          3 |         13 |         77 |
| myUtils                                                                                                                        |         27 |        922 |        145 |        241 |      1,308 |
| myUtils\arrayMerge                                                                                                             |          4 |        344 |         12 |         78 |        434 |
| myUtils\deepCopy                                                                                                               |          1 |         12 |          0 |          3 |         15 |
| myUtils\encryptPassword                                                                                                        |          1 |         20 |          0 |          4 |         24 |
| myUtils\genPasswd                                                                                                              |          2 |         65 |          4 |         14 |         83 |
| myUtils\logMap                                                                                                                 |          7 |        191 |         83 |         57 |        331 |
| myUtils\nodeEncode                                                                                                             |          3 |         74 |          5 |         14 |         93 |
| myUtils\shortMessageService                                                                                                    |          4 |        106 |         40 |         36 |        182 |
| myUtils\timeParse                                                                                                              |          4 |         75 |          1 |         27 |        103 |
| myUtils\webapiError                                                                                                            |          1 |         35 |          0 |          8 |         43 |
| webapi                                                                                                                         |         81 |      7,150 |        542 |      1,343 |      9,035 |
| webapi\SmsNotifier                                                                                                             |          2 |        119 |          0 |         26 |        145 |
| webapi\authority                                                                                                               |          4 |        366 |         12 |         48 |        426 |
| webapi\authority\authApplication                                                                                               |          1 |        100 |          3 |         13 |        116 |
| webapi\authority\authGeneralFormDraftCRUD                                                                                      |          1 |         63 |          3 |         10 |         76 |
| webapi\authority\authProject                                                                                                   |          1 |        103 |          3 |         13 |        119 |
| webapi\authority\authUserCRUD                                                                                                  |          1 |        100 |          3 |         12 |        115 |
| webapi\dataInfra                                                                                                               |         35 |      2,643 |        103 |        560 |      3,306 |
